化妝品製造,傳產製造,化學製造
其它化學相關製造,傳產製造,化學製造
石油煉製,傳產製造,石油製造
其它石油／煤製品製造,傳產製造,石油製造
橡膠製品製造,傳產製造,橡膠塑膠
塑膠製品製造,傳產製造,橡膠塑膠
陶瓷製品製造,傳產製造,非金屬製造
玻璃製品相關製造,傳產製造,非金屬製造
水泥製品相關製造,傳產製造,非金屬製造
耐火材料製造,傳產製造,非金屬製造
石材製品製造,傳產製造,非金屬製造
其它非金屬礦物製品製造,傳產製造,非金屬製造
鋼鐵工業,傳產製造,金屬製造
鋁工業,傳產製造,金屬製造
銅工業,傳產製造,金屬製造
鎂工業,傳產製造,金屬製造
金屬鍛造／粉末冶金,傳產製造,金屬製造
金屬手工具製造,傳產製造,金屬製造
金屬結構／建築組件製造,傳產製造,金屬製造
金屬容器製造,傳產製造,金屬製造
金屬表面處理／熱處理,傳產製造,金屬製造
其它金屬相關製造,傳產製造,金屬製造
自動控制相關,傳產製造,機械設備
鍋爐／原動機製造修配,傳產製造,機械設備
農業／園藝機械製造修配,傳產製造,機械設備
金屬加工用機械製造修配,傳產製造,機械設備
專用生產機械製造修配,傳產製造,機械設備
建築／礦業機械設備製造修配,傳產製造,機械設備
事務機器製造,傳產製造,機械設備
污染防治設備製造修配,傳產製造,機械設備
通用機械設備製造修配,傳產製造,機械設備
其它機械製造修配,傳產製造,機械設備
電力機械器材製造修配,傳產製造,電力機械
家用電器製造,傳產製造,電力機械
照明設備製造,傳產製造,電力機械
電池製造,傳產製造,電力機械
其它電力器材製造,傳產製造,電力機械
船舶／相關零件製造修配,傳產製造,運輸工具
軌道車輛／相關零件製造修配,傳產製造,運輸工具
汽車／零件製造,傳產製造,運輸工具
機車／零件製造,傳產製造,運輸工具
自行車／零件製造,傳產製造,運輸工具
航空器／零件製造修配,傳產製造,運輸工具
其它運輸工具／零件製造修配,傳產製造,運輸工具
精密儀器相關製造,傳產製造,儀器醫材
醫療器材製造,傳產製造,儀器醫材
鐘錶製造,傳產製造,儀器醫材
文具禮品相關,傳產製造,育樂用品
玩具相關,傳產製造,育樂用品
育樂用品相關,傳產製造,育樂用品
其它相關製造,傳產製造,其他製造
海運,傳產製造,物流倉儲
鐵路運輸,傳產製造,物流倉儲
捷運系統,傳產製造,物流倉儲
汽車客運,傳產製造,物流倉儲
汽車貨運,傳產製造,物流倉儲
民航,傳產製造,物流倉儲
普通航空業,傳產製造,物流倉儲
其它陸上運輸業,傳產製造,物流倉儲
倉儲,傳產製造,物流倉儲
儲配／運輸物流,傳產製造,物流倉儲
報關,傳產製造,物流倉儲
船務代理,傳產製造,物流倉儲
貨運承攬,傳產製造,物流倉儲
陸上運輸輔助,傳產製造,物流倉儲
水上運輸輔助,傳產製造,物流倉儲
航空運輸輔助,傳產製造,物流倉儲
